Designator, Mid X, Mid Y, Layer, Rotation
D1, -111.602754, -33.869557, bottom, -5
D2, -90, -22, bottom, 0
D3, -71, -18, bottom, 0
D4, -52, -22.5483, bottom, 0
D5, -33, -24.5, bottom, 0
D6, -109.946795, -52.797257, bottom, -5
D7, -90, -41, bottom, 0
D8, -71, -37, bottom, 0
D9, -52, -41.5483, bottom, 0
D10, -33, -43.5, bottom, 0
D11, -109.728906, -55.287743, bottom, -5
D12, -90, -60, bottom, 0
D13, -71, -56, bottom, 0
D14, -52, -60.5483, bottom, 0
D15, -33, -62.5, bottom, 0
D16, -129.2, -49.1, bottom, -5
D17, -129, -51.6, bottom, -5
D18, -62, -63, bottom, 0
D19, -43, -64, bottom, 0
D20, -18.8, -64.8, bottom, -90
D21, 111.47385, -33.972301, bottom, 5
D22, 90, -22, bottom, 0
D23, 71, -18, bottom, 0
D24, 52, -22.5, bottom, 0
D25, 33, -24.5, bottom, 0
D26, 109.817891, -52.75, bottom, 5
D27, 90, -41, bottom, 0
D28, 71, -37, bottom, 0
D29, 52, -41.5, bottom, 0
D30, 33, -43.5, bottom, 0
D31, 109.6, -55.390487, bottom, 5
D32, 90, -60, bottom, 0
D33, 71, -56, bottom, 0
D34, 52, -60.5, bottom, 0
D35, 33, -62.5, bottom, 0
D36, 129.345243, -49, bottom, 5
D37, 129.127354, -51.381399, bottom, 5
D38, 62, -63, bottom, 0
D39, 43, -64, bottom, 0
D40, 18.8, -64.8, bottom, -90